# hns-rs exact HSD fee-policy vectors v1
# Generated by generators/generate-hsd-fee-policy-vectors.js; do not edit.
# hsd_revision=698e252ebc7b5c1dd0a9587e342fdd153d020ae4
# hsd_version=8.99.0
# policy_source_sha256=1d8840bc6b8b6b4c78fa2e73337f3665b5b65329d650c44589b4a8a67a44a60e
# transaction_source_sha256=7681f599330cba3ff72529da899ed309daa628f3efd500c5d04ba89dd5be9300
# consensus_source_sha256=9342ee033ca27fe1539b6047fbd3529bb912ae2cdbe456adf7828798fb5cc8a2
# fields=weight|sigops|policy_virtual_size|rate_per_1000_virtual_bytes|minimum_fee
0|0|0|1000|0
1|0|1|0|0
1|0|1|1|1
1|0|1|500|500
1|0|1|1000|1
8|0|2|500|1
3996|0|999|1|1
3996|0|999|1000|999
4000|0|1000|1|1
4000|0|1000|1000|1000
4001|0|1001|1000|1001
7996|0|1999|1|1
8000|0|2000|1|2
49380|0|12345|4321|53342
1|1|5|1000|5
100|1|25|1000|25
320|16|80|1000|80
321|16|81|1000|81
300000|16000|80000|1000|80000
400000|16000|100000|4294967295|429496729500
4000000|80000|1000000|1000|1000000
